사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021111500100523,2021년 11월 15일 18시,월요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,52세,상해없음,보행자,남,39세,경상
2021111600100029,2021년 11월 16일 02시,화요일,세종특별자치시 연서면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,26세,중상,승용,남,28세,상해없음
2021111600100290,2021년 11월 16일 12시,화요일,세종특별자치시 도담동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,63세,상해없음,개인형이동수단(PM),남,30세,중상
2021111600100528,2021년 11월 16일 18시,화요일,세종특별자치시 반곡동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,기타,교차로 - 교차로안,승용,남,52세,상해없음,자전거,남,8세,경상
2021111700100023,2021년 11월 17일 02시,수요일,세종특별자치시 도담동,중상사고,0,2,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,기타,단일로 - 지하차도(도로)내,승용,여,41세,중상,화물,남,35세,중상
2021111700100124,2021년 11월 17일 08시,수요일,세종특별자치시 다정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,승용,여,54세,경상
2021111700100201,2021년 11월 17일 10시,수요일,세종특별자치시 고운동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 터널,건설기계,남,56세,상해없음,승용,여,29세,경상
2021111700100355,2021년 11월 17일 14시,수요일,세종특별자치시 연기면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,67세,상해없음,화물,남,42세,상해없음
2021111700100495,2021년 11월 17일 17시,수요일,세종특별자치시 다정동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,45세,상해없음,개인형이동수단(PM),남,30세,부상신고
2021111700100567,2021년 11월 17일 18시,수요일,세종특별자치시 나성동,중상사고,0,1,2,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,중상,승용,여,40세,경상
2021111700100568,2021년 11월 17일 18시,수요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,55세,상해없음,원동기,남,42세,경상
